te_date,te_time,te_open,te_high,te_low,te_close,te_volume,predict
2021-03-03,13:00:00,16154.0,16181.0,16139.0,16196.0,20173,0
2021-03-03,15:00:00,16195.0,16217.0,16190.0,16230.0,5280,0
2021-03-03,16:00:00,16217.0,16221.0,16212.0,16229.0,1894,0
2021-03-03,17:00:00,16220.0,16243.0,16215.0,16255.0,3701,0
2021-03-03,18:00:00,16242.0,16239.0,16230.0,16247.0,1234,0
2021-03-03,19:00:00,16239.0,16239.0,16226.0,16245.0,1295,0
2021-03-03,20:00:00,16238.0,16224.0,16223.0,16241.0,1423,0
2021-03-03,21:00:00,16224.0,16140.0,16097.0,16224.0,17100,0
2021-03-03,22:00:00,16140.0,16125.0,16107.0,16170.0,9410,-1
2021-03-03,23:00:00,16124.0,16134.0,16078.0,16138.0,12063,-1
2021-03-04,00:00:00,16133.0,16127.0,16118.0,16144.0,4005,0
2021-03-04,01:00:00,16128.0,16101.0,16090.0,16132.0,2822,0
2021-03-04,02:00:00,16100.0,16084.0,16082.0,16130.0,2255,0
2021-03-04,03:00:00,16083.0,16053.0,16006.0,16092.0,5545,0
2021-03-04,04:00:00,16055.0,16008.0,16000.0,16060.0,3480,0
2021-03-04,08:00:00,16025.0,16044.0,16010.0,16054.0,6828,0
2021-03-04,09:00:00,16045.0,15930.0,15898.0,16066.0,56181,0
2021-03-04,10:00:00,15930.0,15847.0,15803.0,15987.0,48587,0
