te_date,te_time,te_open,te_high,te_close,te_low,te_volume,predict
2021-01-09,00:45:00,15436.0,15441.0,15442.0,15429.0,392.0,0
2021-01-09,01:00:00,15440.0,15443.0,15445.0,15413.0,1048.0,0
2021-01-09,01:15:00,15444.0,15432.0,15452.0,15429.0,683.0,0
2021-01-09,01:30:00,15434.0,15427.0,15437.0,15420.0,417.0,0
2021-01-09,01:45:00,15428.0,15413.0,15428.0,15402.0,929.0,0
2021-01-09,02:00:00,15414.0,15405.0,15420.0,15396.0,782.0,0
2021-01-09,02:15:00,15405.0,15379.0,15405.0,15363.0,2377.0,0
2021-01-09,02:30:00,15380.0,15343.0,15384.0,15335.0,2385.0,0
2021-01-09,02:45:00,15343.0,15369.0,15380.0,15338.0,1306.0,1
2021-01-09,03:00:00,15369.0,15380.0,15393.0,15367.0,972.0,0
2021-01-09,03:15:00,15380.0,15391.0,15391.0,15378.0,366.0,0
2021-01-09,03:30:00,15389.0,15384.0,15400.0,15381.0,547.0,0
2021-01-09,03:45:00,15384.0,15429.0,15440.0,15383.0,1334.0,0
2021-01-09,04:00:00,15431.0,15421.0,15446.0,15417.0,861.0,0
2021-01-09,04:15:00,15421.0,15423.0,15430.0,15406.0,712.0,1
2021-01-09,04:30:00,15423.0,15427.0,15429.0,15415.0,428.0,0
2021-01-09,04:45:00,15428.0,15417.0,15429.0,15415.0,503.0,0
2021-01-09,05:00:00,15418.0,15419.0,15420.0,15414.0,164.0,0
2021-01-11,08:45:00,15420.0,15417.0,15428.0,15383.0,7380.0,0
2021-01-11,09:00:00,15418.0,15440.0,15465.0,15404.0,11616.0,0
2021-01-11,09:15:00,15442.0,15509.0,15509.0,15418.0,12712.0,0
2021-01-11,09:30:00,15509.0,15459.0,15510.0,15431.0,11282.0,0
2021-01-11,09:45:00,15457.0,15432.0,15474.0,15421.0,8515.0,0
2021-01-11,10:00:00,15432.0,15413.0,15443.0,15369.0,13459.0,1
2021-01-11,10:15:00,15413.0,15445.0,15450.0,15386.0,6938.0,1
2021-01-11,10:30:00,15445.0,15444.0,15463.0,15442.0,5143.0,0
2021-01-11,10:45:00,15445.0,15449.0,15473.0,15438.0,4979.0,0
2021-01-11,11:00:00,15449.0,15462.0,15472.0,15444.0,3133.0,0
2021-01-11,11:15:00,15462.0,15435.0,15466.0,15427.0,3275.0,1
